"Entidade Executora";"UF";"ANO";"Valor Transferido";"Valor aquisições da agricultura familiar";"Percentual.x";"Código IBGE";"Valor transferido";"Valor aquisições agricultura familiar";"Percentual.y"
"PREF MUN DE BALNEARIO ARROIO DO SILVA";"SC";2011;60720;1529,5;0,0251893939393939;4201950;160828;43028,74;0,267545079215062
"PREF MUN DE BALNEARIO BARRA DO SUL";"SC";2011;58440;9000;0,154004106776181;4202057;56220,8;28444,64;0,50594513062781
"PREF MUN DE BALNEARIO CAMBORIU";"SC";2011;1004460;491347,37;0,489165691018059;4202008;1314680;421765,75;0,320812479082362
"PREF MUN DE BALNEARIO GAIVOTA";"SC";2011;66660;38489,98;0,577407440744074;4202073;102880;70937,25;0,68951448289269
"PREF MUN DE BALNEARIO PICARRAS";"SC";2011;177360;101880,34;0,574426815516464;4212809;262708;82035,85;0,312270086940634
"PREF MUN DE BALNEARIO PINHAL";"RS";2011;165348;0;0;4301636;232420;117480,76;0,505467515704328
"PREF MUN DE BALSA NOVA";"PR";2011;96000;31491,3;0,328034375;4102307;132240;76879,01;0,581359724742892
"PREF MUN DE BALSAMO";"SP";2011;102420;0;0;3504800;123660;1080;0,00873362445414847
"PREF MUN DE BALSAS";"MA";2011;1245180;276150,33;0,221775430058305;2101400;1540536;0;0
"PREF MUN DE BAMBUI";"MG";2011;130320;3770,23;0,0289305555555556;3105103;154880;34689,09;0,223973979855372
"PREF MUN DE BANABUIU";"CE";2011;286500;0;0;2301851;532692;105116,8;0,19733129087728
"PREF MUN DE BANANAL";"SP";2011;138420;0;0;3504909;153480;14059,53;0,0916049648162627
